n_features,accuracy,precision,recall,f1_score
122,0.6747891130463268,0.9937113518575327,0.6767923905872003,0.8051897931016438
123,0.6747891130463268,0.9937113518575327,0.6767923905872003,0.8051897931016438
124,0.6747672736207038,0.9937111487850165,0.676770398064658,0.8051741618969747
125,0.6747672736207038,0.9937111487850165,0.676770398064658,0.8051741618969747
126,0.6747672736207038,0.9937111487850165,0.676770398064658,0.8051741618969747
127,0.6747672736207038,0.9937111487850165,0.676770398064658,0.8051741618969747
128,0.6747508940514865,0.9936870827379655,0.676770398064658,0.8051662616556502
129,0.6747563539078922,0.9936951046241281,0.676770398064658,0.8051688950521991
130,0.6747508940514865,0.9936950537252465,0.6767648999340224,0.8051649871954629
131,0.6747508940514865,0.9937109964720224,0.6767539036727512,0.8051624382250684
132,0.6747508940514865,0.9937109964720224,0.6767539036727512,0.8051624382250684
133,0.6747399743386749,0.9937108949259275,0.6767429074114801,0.8051546223159822
134,0.6747290546258633,0.9937107933765531,0.6767319111502089,0.8051468063046415
135,0.6747290546258633,0.9937107933765531,0.6767319111502089,0.8051468063046415
136,0.6749419890256886,0.9942792501616031,0.6765559709698702,0.8052087423112159
137,0.6749419890256886,0.9942792501616031,0.6765559709698702,0.8052087423112159
138,0.6749256094564713,0.9942791114846029,0.6765394765779635,0.8051970147593387
139,0.6749256094564713,0.9942791114846029,0.6765394765779635,0.8051970147593387
140,0.6749256094564713,0.9942791114846029,0.6765394765779635,0.8051970147593387
141,0.6749256094564713,0.9942791114846029,0.6765394765779635,0.8051970147593387
142,0.6749256094564713,0.9942791114846029,0.6765394765779635,0.8051970147593387
143,0.6749256094564713,0.9942791114846029,0.6765394765779635,0.8051970147593387
144,0.6749201496000655,0.994279065257442,0.6765339784473279,0.8051931055242183
145,0.6748983101744425,0.9942788803413278,0.6765119859247856,0.8051774683279238
146,0.6748983101744425,0.9942788803413278,0.6765119859247856,0.8051774683279238
147,0.6748655510360078,0.9942706144745773,0.6764844952716077,0.8051552868192705
148,0.6748655510360078,0.9942706144745773,0.6764844952716077,0.8051552868192705
149,0.6747181349130518,0.9940377608479629,0.6764954915328788,0.8050867142796384
150,0.6747181349130518,0.9940377608479629,0.6764954915328788,0.8050867142796384
